Subblock;Scene;Tile;T;Z;C;X [micron];Y [micron];Z [micron];Time [s];xstart;ystart;xwidth;ywidth
108;54;0;0;0;0;58411.491;44472.134;736.325;128.29133796691895;118620;78991;1960;1416
109;54;0;0;0;1;58411.491;44472.134;736.325;128.6423578262329;118620;78991;1960;1416
110;55;0;0;0;0;67443.863;44483.169;726.228;130.67047381401062;138378;79015;1960;1416
111;55;0;0;0;1;67443.863;44483.169;726.228;131.02249383926392;138378;79015;1960;1416
112;56;0;0;0;0;76476.228;44494.204;716.938;134.30368185043335;158136;79039;1960;1416
113;56;0;0;0;1;76476.228;44494.204;716.938;134.65170097351074;158136;79039;1960;1416
114;57;0;0;0;0;85508.607;44505.239;701.841;136.6868178844452;177894;79064;1960;1416
115;57;0;0;0;1;85508.607;44505.239;701.841;137.0348379611969;177894;79064;1960;1416
116;58;0;0;0;0;94540.98;44516.274;683.984;139.10095596313477;197652;79088;1960;1416
117;58;0;0;0;1;94540.98;44516.274;683.984;139.4489758014679;197652;79088;1960;1416
118;59;0;0;0;0;103573.352;44527.31;660.289;141.75710797309875;217410;79112;1960;1416
119;59;0;0;0;1;103573.352;44527.31;660.289;142.10312795639038;217410;79112;1960;1416
120;60;0;0;0;0;103562.343;53538.439;663.793;143.95323300361633;217386;98823;1960;1416
121;60;0;0;0;1;103562.343;53538.439;663.793;144.33325481414795;217386;98823;1960;1416
122;61;0;0;0;0;94529.971;53527.404;687.06;146.65238785743713;197628;98799;1960;1416
123;61;0;0;0;1;94529.971;53527.404;687.06;147.00340795516968;197628;98799;1960;1416
124;62;0;0;0;0;85497.604;53516.369;703.667;149.29353880882263;177870;98775;1960;1416
125;62;0;0;0;1;85497.604;53516.369;703.667;149.6405589580536;177870;98775;1960;1416
126;63;0;0;0;0;76465.22;53505.333;716.562;151.68067479133606;158112;98751;1960;1416
127;63;0;0;0;1;76465.22;53505.333;716.562;152.02769494056702;158112;98751;1960;1416
128;64;0;0;0;0;67432.853;53494.298;726.303;154.08181285858154;138354;98727;1960;1416
129;64;0;0;0;1;67432.853;53494.298;726.303;154.4288330078125;138354;98727;1960;1416
130;65;0;0;0;0;58400.482;53483.263;733.43;156.45394802093506;118596;98703;1960;1416
131;65;0;0;0;1;58400.482;53483.263;733.43;156.80096793174744;118596;98703;1960;1416
132;66;0;0;0;0;49368.116;53472.228;739.738;158.80508279800415;98838;98678;1960;1416
133;66;0;0;0;1;49368.116;53472.228;739.738;159.1521029472351;98838;98678;1960;1416
134;67;0;0;0;0;40335.748;53461.193;744.721;161.188218832016;79080;98654;1960;1416
135;67;0;0;0;1;40335.748;53461.193;744.721;161.55023980140686;79080;98654;1960;1416
136;68;0;0;0;0;31303.364;53450.158;747.133;163.29333996772766;59322;98630;1960;1416
137;68;0;0;0;1;31303.364;53450.158;747.133;163.65635991096497;59322;98630;1960;1416
